"idResource","idUser","chosenCategory","incentive"
66871,311,1,"EXTRINSIC"
66871,671,1,"EXTRINSIC"
66879,704,6,"EXTRINSIC"
66879,674,2,"EXTRINSIC"
66879,672,6,"EXTRINSIC"
66879,671,6,"EXTRINSIC"
66882,717,1,"EXTRINSIC"
66882,13,6,"EXTRINSIC"
66882,671,6,"EXTRINSIC"
66882,672,6,"EXTRINSIC"
66882,19,6,"EXTRINSIC"
66889,672,1,"EXTRINSIC"
66889,671,6,"EXTRINSIC"
66889,311,1,"EXTRINSIC"
66890,714,1,"EXTRINSIC"
66890,672,6,"EXTRINSIC"
66890,13,1,"EXTRINSIC"
66890,671,1,"EXTRINSIC"
66910,671,1,"EXTRINSIC"
66910,672,1,"EXTRINSIC"
66911,671,1,"EXTRINSIC"
66911,672,1,"EXTRINSIC"
66923,703,1,"EXTRINSIC"
66923,674,6,"EXTRINSIC"
66923,648,1,"EXTRINSIC"
66923,672,6,"EXTRINSIC"
66928,671,1,"EXTRINSIC"
66928,672,1,"EXTRINSIC"
66932,671,1,"EXTRINSIC"
66932,672,6,"EXTRINSIC"
66941,672,1,"EXTRINSIC"
66945,714,1,"EXTRINSIC"
66945,13,3,"EXTRINSIC"
66945,721,1,"EXTRINSIC"
66945,281,6,"EXTRINSIC"
66945,671,1,"EXTRINSIC"
66945,717,6,"EXTRINSIC"
66945,311,1,"EXTRINSIC"
66945,672,3,"EXTRINSIC"
66948,671,1,"EXTRINSIC"
66948,311,1,"EXTRINSIC"
66960,682,1,"EXTRINSIC"
66960,671,1,"EXTRINSIC"
66960,672,1,"EXTRINSIC"
66962,672,1,"EXTRINSIC"
66962,714,1,"EXTRINSIC"
66962,671,1,"EXTRINSIC"
66965,672,1,"EXTRINSIC"
66965,311,1,"EXTRINSIC"
66965,671,1,"EXTRINSIC"
66965,714,6,"EXTRINSIC"
66965,93,1,"EXTRINSIC"
66985,671,1,"EXTRINSIC"
66985,682,1,"EXTRINSIC"
66985,672,1,"EXTRINSIC"
66986,671,1,"EXTRINSIC"
66986,672,1,"EXTRINSIC"
66986,717,1,"EXTRINSIC"
66988,682,1,"EXTRINSIC"
66988,671,1,"EXTRINSIC"
66988,672,1,"EXTRINSIC"
66990,672,1,"EXTRINSIC"
66990,671,1,"EXTRINSIC"
66994,672,1,"EXTRINSIC"
66994,682,1,"EXTRINSIC"
66997,671,1,"EXTRINSIC"
66997,672,1,"EXTRINSIC"
67008,670,1,"EXTRINSIC"
67008,672,1,"EXTRINSIC"
67016,674,6,"EXTRINSIC"
67016,672,1,"EXTRINSIC"
67016,677,6,"EXTRINSIC"
67016,676,1,"EXTRINSIC"
67020,681,1,"EXTRINSIC"
67020,682,6,"EXTRINSIC"
67020,672,3,"EXTRINSIC"
67028,671,1,"EXTRINSIC"
67028,672,1,"EXTRINSIC"
67028,93,1,"EXTRINSIC"
67031,671,6,"EXTRINSIC"
67031,93,1,"EXTRINSIC"
67031,672,1,"EXTRINSIC"
67033,671,1,"EXTRINSIC"
67033,311,1,"EXTRINSIC"
67047,671,2,"EXTRINSIC"
67047,721,2,"EXTRINSIC"
67047,311,2,"EXTRINSIC"
67047,672,2,"EXTRINSIC"
67047,720,2,"EXTRINSIC"
67053,671,2,"EXTRINSIC"
67053,311,2,"EXTRINSIC"
67057,672,2,"EXTRINSIC"
67057,671,2,"EXTRINSIC"
67066,671,2,"EXTRINSIC"
67066,672,2,"EXTRINSIC"
67076,671,2,"EXTRINSIC"
67076,717,2,"EXTRINSIC"
67076,672,2,"EXTRINSIC"
67082,671,2,"EXTRINSIC"
67082,672,2,"EXTRINSIC"
67085,717,2,"EXTRINSIC"
67085,672,2,"EXTRINSIC"
67085,671,2,"EXTRINSIC"
67097,717,2,"EXTRINSIC"
67097,671,2,"EXTRINSIC"
67097,672,2,"EXTRINSIC"
67099,672,2,"EXTRINSIC"
67100,672,2,"EXTRINSIC"
67100,682,2,"EXTRINSIC"
67100,93,2,"EXTRINSIC"
67100,671,6,"EXTRINSIC"
67107,671,2,"EXTRINSIC"
67107,672,2,"EXTRINSIC"
67107,93,2,"EXTRINSIC"
67116,281,2,"EXTRINSIC"
67116,672,2,"EXTRINSIC"
67116,311,2,"EXTRINSIC"
67116,671,2,"EXTRINSIC"
67119,717,2,"EXTRINSIC"
67119,671,2,"EXTRINSIC"
67119,672,2,"EXTRINSIC"
67140,672,6,"EXTRINSIC"
67140,714,6,"EXTRINSIC"
67140,671,1,"EXTRINSIC"
67143,672,2,"EXTRINSIC"
67149,672,2,"EXTRINSIC"
67149,671,2,"EXTRINSIC"
67156,671,2,"EXTRINSIC"
67156,672,2,"EXTRINSIC"
67160,672,2,"EXTRINSIC"
67160,671,2,"EXTRINSIC"
67166,671,2,"EXTRINSIC"
67166,672,2,"EXTRINSIC"
67179,672,2,"EXTRINSIC"
67179,671,2,"EXTRINSIC"
67193,311,2,"EXTRINSIC"
67193,672,2,"EXTRINSIC"
67193,671,2,"EXTRINSIC"
67196,671,2,"EXTRINSIC"
67196,672,2,"EXTRINSIC"
67237,672,6,"EXTRINSIC"
67237,311,6,"EXTRINSIC"
67237,717,6,"EXTRINSIC"
67237,671,3,"EXTRINSIC"
67240,672,6,"EXTRINSIC"
67240,671,1,"EXTRINSIC"
67240,717,6,"EXTRINSIC"
67240,311,6,"EXTRINSIC"
67244,671,6,"EXTRINSIC"
67244,93,6,"EXTRINSIC"
67244,672,6,"EXTRINSIC"
67253,671,6,"EXTRINSIC"
67253,672,6,"EXTRINSIC"
67255,672,5,"EXTRINSIC"
67263,672,6,"EXTRINSIC"
67263,682,6,"EXTRINSIC"
67263,671,6,"EXTRINSIC"
67269,672,6,"EXTRINSIC"
67269,671,6,"EXTRINSIC"
67281,648,6,"EXTRINSIC"
67281,672,6,"EXTRINSIC"
67281,704,6,"EXTRINSIC"
67282,13,5,"EXTRINSIC"
67282,672,6,"EXTRINSIC"
67282,714,6,"EXTRINSIC"
67282,671,5,"EXTRINSIC"
67298,671,6,"EXTRINSIC"
67298,672,6,"EXTRINSIC"
67298,717,6,"EXTRINSIC"
67298,311,6,"EXTRINSIC"
67305,671,6,"EXTRINSIC"
67305,672,6,"EXTRINSIC"
67315,672,6,"EXTRINSIC"
67315,671,6,"EXTRINSIC"
67323,721,6,"EXTRINSIC"
67323,720,6,"EXTRINSIC"
67323,311,6,"EXTRINSIC"
67323,672,6,"EXTRINSIC"
67323,671,6,"EXTRINSIC"
67331,311,6,"EXTRINSIC"
67331,671,6,"EXTRINSIC"
67331,672,6,"EXTRINSIC"
67344,93,1,"EXTRINSIC"
67344,682,1,"EXTRINSIC"
67344,671,1,"EXTRINSIC"
67344,672,3,"EXTRINSIC"
67350,671,6,"EXTRINSIC"
67350,672,6,"EXTRINSIC"
67356,311,5,"EXTRINSIC"
67356,671,5,"EXTRINSIC"
67368,671,6,"EXTRINSIC"
67368,672,6,"EXTRINSIC"
67374,672,3,"EXTRINSIC"
67374,682,6,"EXTRINSIC"
67374,671,6,"EXTRINSIC"
67374,93,6,"EXTRINSIC"
67376,672,6,"EXTRINSIC"
67376,671,6,"EXTRINSIC"
67378,311,6,"EXTRINSIC"
67378,93,6,"EXTRINSIC"
67378,714,5,"EXTRINSIC"
67378,671,5,"EXTRINSIC"
67378,672,5,"EXTRINSIC"
67385,672,6,"EXTRINSIC"
67385,671,6,"EXTRINSIC"
67395,671,6,"EXTRINSIC"
67395,717,6,"EXTRINSIC"
67395,311,6,"EXTRINSIC"
67395,672,6,"EXTRINSIC"
67396,672,3,"EXTRINSIC"
67396,698,6,"EXTRINSIC"
67396,648,6,"EXTRINSIC"
67396,674,6,"EXTRINSIC"
67400,682,6,"EXTRINSIC"
67400,672,6,"EXTRINSIC"
67400,671,6,"EXTRINSIC"
67409,93,6,"EXTRINSIC"
67409,671,6,"EXTRINSIC"
67409,714,6,"EXTRINSIC"
67409,672,6,"EXTRINSIC"
67413,672,6,"EXTRINSIC"
67413,714,6,"EXTRINSIC"
67413,671,6,"EXTRINSIC"
67417,671,6,"EXTRINSIC"
67417,717,6,"EXTRINSIC"
67417,672,6,"EXTRINSIC"
67417,311,6,"EXTRINSIC"
67419,671,1,"EXTRINSIC"
67419,672,1,"EXTRINSIC"
67419,670,6,"EXTRINSIC"
67422,717,6,"EXTRINSIC"
67422,671,6,"EXTRINSIC"
67422,672,6,"EXTRINSIC"
67423,671,6,"EXTRINSIC"
67423,93,6,"EXTRINSIC"
67423,672,6,"EXTRINSIC"
67428,671,6,"EXTRINSIC"
67428,311,6,"EXTRINSIC"
67428,672,6,"EXTRINSIC"
67428,720,6,"EXTRINSIC"
67431,671,6,"EXTRINSIC"
67431,672,6,"EXTRINSIC"
67431,721,6,"EXTRINSIC"
67431,311,6,"EXTRINSIC"
67432,682,6,"EXTRINSIC"
67432,671,6,"EXTRINSIC"
67432,672,6,"EXTRINSIC"
67432,93,6,"EXTRINSIC"
67435,671,6,"EXTRINSIC"
67435,674,3,"EXTRINSIC"
67435,670,3,"EXTRINSIC"
67435,672,6,"EXTRINSIC"
67435,695,4,"EXTRINSIC"
67437,672,5,"EXTRINSIC"
67437,682,5,"EXTRINSIC"
67438,672,3,"EXTRINSIC"
67438,93,6,"EXTRINSIC"
67438,671,6,"EXTRINSIC"
67438,712,6,"EXTRINSIC"
67439,672,3,"EXTRINSIC"
67439,671,3,"EXTRINSIC"
67441,670,1,"EXTRINSIC"
67441,692,3,"EXTRINSIC"
67441,691,1,"EXTRINSIC"
67441,682,6,"EXTRINSIC"
67441,672,3,"EXTRINSIC"
67441,671,6,"EXTRINSIC"
67443,671,1,"EXTRINSIC"
67443,672,1,"EXTRINSIC"
67443,714,1,"EXTRINSIC"
67449,717,6,"EXTRINSIC"
67449,671,6,"EXTRINSIC"
67449,672,6,"EXTRINSIC"
67449,311,6,"EXTRINSIC"
67461,671,5,"EXTRINSIC"
67461,670,5,"EXTRINSIC"
67461,672,5,"EXTRINSIC"
67463,93,6,"EXTRINSIC"
67463,672,6,"EXTRINSIC"
67463,671,5,"EXTRINSIC"
67463,714,5,"EXTRINSIC"
67463,311,1,"EXTRINSIC"
67469,672,1,"EXTRINSIC"
67469,670,1,"EXTRINSIC"
67469,311,3,"EXTRINSIC"
67469,671,3,"EXTRINSIC"
67469,721,3,"EXTRINSIC"
67469,727,3,"EXTRINSIC"
67469,720,6,"EXTRINSIC"
67469,723,6,"EXTRINSIC"
67474,694,3,"EXTRINSIC"
67474,674,3,"EXTRINSIC"
67474,672,3,"EXTRINSIC"
67474,682,4,"EXTRINSIC"
67474,671,4,"EXTRINSIC"
67474,695,4,"EXTRINSIC"
67474,670,3,"EXTRINSIC"
67484,713,1,"EXTRINSIC"
67484,93,6,"EXTRINSIC"
67484,672,3,"EXTRINSIC"
67484,671,1,"EXTRINSIC"
67484,712,3,"EXTRINSIC"
67485,671,5,"EXTRINSIC"
67485,670,4,"EXTRINSIC"
67485,674,4,"EXTRINSIC"
67485,648,5,"EXTRINSIC"
67485,701,1,"EXTRINSIC"
67485,695,4,"EXTRINSIC"
67485,672,3,"EXTRINSIC"
67485,698,5,"EXTRINSIC"
67487,720,3,"EXTRINSIC"
67487,672,1,"EXTRINSIC"
67487,670,1,"EXTRINSIC"
67487,721,3,"EXTRINSIC"
67487,311,1,"EXTRINSIC"
67487,671,3,"EXTRINSIC"
67495,311,5,"EXTRINSIC"
67495,717,6,"EXTRINSIC"
67495,281,5,"EXTRINSIC"
67495,671,5,"EXTRINSIC"
67495,672,6,"EXTRINSIC"
67496,714,6,"EXTRINSIC"
67496,311,4,"EXTRINSIC"
67496,672,6,"EXTRINSIC"
67496,717,4,"EXTRINSIC"
67496,671,4,"EXTRINSIC"
67496,93,4,"EXTRINSIC"
67496,13,2,"EXTRINSIC"
67501,672,6,"EXTRINSIC"
67501,714,4,"EXTRINSIC"
67501,93,6,"EXTRINSIC"
67501,671,6,"EXTRINSIC"
67504,714,6,"EXTRINSIC"
67504,672,3,"EXTRINSIC"
67504,671,6,"EXTRINSIC"
67505,672,3,"EXTRINSIC"
67510,672,3,"EXTRINSIC"
67510,671,3,"EXTRINSIC"
67511,670,3,"EXTRINSIC"
67511,671,6,"EXTRINSIC"
67511,698,3,"EXTRINSIC"
67511,672,1,"EXTRINSIC"
67511,674,3,"EXTRINSIC"
67516,93,3,"EXTRINSIC"
67516,671,6,"EXTRINSIC"
67516,672,3,"EXTRINSIC"
67518,671,6,"EXTRINSIC"
67518,311,6,"EXTRINSIC"
67518,672,6,"EXTRINSIC"
67518,720,6,"EXTRINSIC"
67519,671,3,"EXTRINSIC"
67519,672,3,"EXTRINSIC"
67524,682,4,"EXTRINSIC"
67524,93,6,"EXTRINSIC"
67524,689,4,"EXTRINSIC"
67524,672,4,"EXTRINSIC"
67524,671,1,"EXTRINSIC"
67524,674,6,"EXTRINSIC"
67526,672,3,"EXTRINSIC"
67526,682,1,"EXTRINSIC"
67526,671,1,"EXTRINSIC"
67532,672,6,"EXTRINSIC"
67532,671,6,"EXTRINSIC"
67538,709,4,"EXTRINSIC"
67538,672,3,"EXTRINSIC"
67538,708,3,"EXTRINSIC"
67538,711,2,"EXTRINSIC"
67538,707,6,"EXTRINSIC"
67538,671,6,"EXTRINSIC"
67538,93,4,"EXTRINSIC"
67538,682,6,"EXTRINSIC"
67538,704,6,"EXTRINSIC"
67541,672,3,"EXTRINSIC"
67541,682,3,"EXTRINSIC"
67544,674,3,"EXTRINSIC"
67544,672,5,"EXTRINSIC"
67554,93,3,"EXTRINSIC"
67554,671,6,"EXTRINSIC"
67554,672,3,"EXTRINSIC"
67558,672,5,"EXTRINSIC"
67558,93,3,"EXTRINSIC"
67558,671,3,"EXTRINSIC"
67558,714,3,"EXTRINSIC"
67560,682,6,"EXTRINSIC"
67560,672,3,"EXTRINSIC"
67560,671,4,"EXTRINSIC"
67560,93,3,"EXTRINSIC"
67572,682,6,"EXTRINSIC"
67572,674,3,"EXTRINSIC"
67572,681,6,"EXTRINSIC"
67572,672,1,"EXTRINSIC"
67581,672,6,"EXTRINSIC"
67581,671,6,"EXTRINSIC"
67582,672,6,"EXTRINSIC"
67582,671,1,"EXTRINSIC"
67582,93,6,"EXTRINSIC"
67593,665,3,"EXTRINSIC"
67593,666,3,"EXTRINSIC"
67593,672,5,"EXTRINSIC"
67601,671,6,"EXTRINSIC"
67601,672,3,"EXTRINSIC"
67601,682,6,"EXTRINSIC"
67601,93,3,"EXTRINSIC"
67604,727,3,"EXTRINSIC"
67604,728,3,"EXTRINSIC"
67604,723,5,"EXTRINSIC"
67604,671,3,"EXTRINSIC"
67604,311,3,"EXTRINSIC"
67604,672,6,"EXTRINSIC"
67604,721,3,"EXTRINSIC"
67606,670,6,"EXTRINSIC"
67606,674,6,"EXTRINSIC"
67606,93,6,"EXTRINSIC"
67606,682,3,"EXTRINSIC"
67606,672,2,"EXTRINSIC"
67606,671,6,"EXTRINSIC"
67607,671,3,"EXTRINSIC"
67607,723,3,"EXTRINSIC"
67607,311,2,"EXTRINSIC"
67607,672,3,"EXTRINSIC"
67607,721,3,"EXTRINSIC"
67613,311,4,"EXTRINSIC"
67613,672,6,"EXTRINSIC"
67613,671,6,"EXTRINSIC"
67616,672,3,"EXTRINSIC"
67616,670,3,"EXTRINSIC"
67619,671,6,"EXTRINSIC"
67619,648,3,"EXTRINSIC"
67619,701,6,"EXTRINSIC"
67619,703,3,"EXTRINSIC"
67619,702,2,"EXTRINSIC"
67619,672,3,"EXTRINSIC"
67619,674,3,"EXTRINSIC"
67619,670,3,"EXTRINSIC"
67619,698,6,"EXTRINSIC"
67624,695,2,"EXTRINSIC"
67624,697,3,"EXTRINSIC"
67624,670,2,"EXTRINSIC"
67624,672,3,"EXTRINSIC"
67624,671,2,"EXTRINSIC"
67630,714,5,"EXTRINSIC"
67630,311,5,"EXTRINSIC"
67630,713,4,"EXTRINSIC"
67630,671,5,"EXTRINSIC"
67630,712,5,"EXTRINSIC"
67630,93,3,"EXTRINSIC"
67630,672,5,"EXTRINSIC"
67636,672,5,"EXTRINSIC"
67637,672,6,"EXTRINSIC"
67637,756,6,"EXTRINSIC"
67638,672,6,"EXTRINSIC"
67638,311,6,"EXTRINSIC"
67638,671,6,"EXTRINSIC"
67638,670,6,"EXTRINSIC"
67638,720,6,"EXTRINSIC"
67638,721,6,"EXTRINSIC"
67639,672,6,"EXTRINSIC"
67640,670,2,"EXTRINSIC"
67640,698,2,"EXTRINSIC"
